r_arcsec, SB
0.0, 1.5613533650642804e-17
0.11012333537439378, 1.5209709540736806e-17
0.1842239958058829, 1.4877374472810228e-17
0.32152747604805043, 1.3579273706089386e-17
0.39242993059304254, 1.267260689066509e-17
0.44082389810390343, 1.1305349469772372e-17
0.48789000135286176, 1.0274830495516381e-17
0.5254151635523636, 9.267704685421923e-18
0.5745412347207182, 8.377832489175059e-18
0.6321371616644618, 7.647433031027968e-18
0.6814792330350008, 6.928438179565353e-18
0.7141080224614116, 6.253071174098787e-18
0.7576081338376068, 5.573715533073757e-18
0.794381735513926, 5.01751625231458e-18
0.8324701271876485, 4.52825144671763e-18
0.870556241899141, 4.0793101804133234e-18
0.9004810352718462, 3.688978809119911e-18
0.9349775752509386, 3.332571499053196e-18
0.9677720550422995, 3.002233031203924e-18
1.0013536806761538, 2.2319909592104584e-18
0.9971064292980147, 2.709668794237146e-18
1.029771813764197, 2.4600145192270596e-18
1.0582280147312797, 2.1324487648900115e-18
1.1199171513213073, 1.921478254735251e-18
1.1448724652594595, 1.6439021344570372e-18
1.1774269953978733, 1.467719914366511e-18
1.2089127166550273, 1.3199499727200355e-18
1.2350174420632951, 1.1952501117594706e-18
1.2575363093679857, 1.0885777972856473e-18
1.2787757518743355, 9.637357428495117e-19
1.3050849839534082, 8.4997946177771795e-19
1.323925395887389, 7.658695794728279e-19
1.343200134149915, 6.9181399328536875e-19
1.3622552045897167, 6.228962125645691e-19
1.3872181992930497, 5.560105428321543e-19
1.4074622488095658, 4.980255686340833e-19
1.4267462635848756, 4.531965129135378e-19
1.4458056012205585, 4.094351179759497e-19
1.4760674412244141, 3.6756256992187857e-19
1.5050244933226418, 3.2703104818556885e-19
1.5307612503904788, 2.9410558438696317e-19
1.551648014662039, 2.646412779577499e-19
1.5746760299969578, 2.353809298834395e-19
1.5950113055835107, 2.0970319755805983e-19
1.6132091180160917, 1.8957727873502128e-19
1.6324857115811742, 1.7149872157130377e-19
1.6487918884485577, 1.5439333949832384e-19
1.6623492799695059, 1.3316208698891133e-19
1.6686706491714636, 1.1855946796217692e-19
